"bearing_1","bearing_2","bearing_3","bearing_4","bearing_5","bearing_6"
-1,278.75,-1,253.3,221.46,206.73
92.58,101.09,105.46,99.8,104.45,121.4
95.05,102.89,106.64,98.54,108.01,121.18
285.85,294.9,288.75,281.03,-1,-1
294.33,282.97,289.43,128.09,274.78,275.4
108.48,124.09,126.91,-1,125.83,-1
-1,-1,-1,-1,224.38,187.88
290.19,271.8,-1,254,233.19,-1
290.94,-1,263.82,-1,224.97,-1
93.81,97.26,-1,104.98,100.77,119.95
-1,122.53,-1,118.32,-1,-1
3.72,306.16,-1,247.81,165.48,185.07
110.41,-1,228.13,-1,-1,-1
109.61,262.69,230.54,243.1,-1,-1
98.41,117.98,-1,119.24,122.93,140.08
-1,323.61,-1,276.11,170.16,186.25
3.59,306.38,252.29,-1,181.21,-1
286.99,269.04,-1,-1,-1,-1
99.69,96.07,-1,-1,-1,-1
